alpha,I
-2.597,11.6
-2.602,11.5
-2.608,11.4
-2.613,11.3
-2.619,11.2
-2.624,11.2
-2.629,10.9
-2.635,10.8
-2.64,10.7
-2.645,10.5
-2.651,10.4
-2.656,10.4
-2.661,10.5
-2.667,10.7
-2.672,10.7
-2.677,10.8
-2.683,10.8
-2.688,10.9
-2.693,11.1
-2.699,11.2
-2.704,11.2
-2.709,11.2
-2.715,11.2
-2.72,11.2
-2.725,11.2
-2.731,11.1
-2.736,10.8
-2.741,10.4
-2.747,10
-2.752,9.6
-2.757,9.6
-2.763,9.6
-2.768,9.6
-2.773,9.6
-2.779,9.6
-2.784,9.6
-2.789,9.3
-2.795,9.2
-2.8,9.2
-2.805,9.2
-2.811,9.2
-2.816,9.2
-2.821,9.2
-2.827,9.2
-2.832,9.2
-2.837,9.2
-2.843,9.3
-2.848,9.6
-2.853,9.9
-2.859,10
-2.864,10
-2.869,10
-2.875,10
-2.88,9.7
-2.885,9.6
-2.891,9.6
-2.896,9.4
-2.901,9.2
-2.907,9.2
-2.912,9.1
-2.917,8.9
-2.923,8.7
-2.928,8.4
-2.933,8.4
-2.939,8.2
-2.944,8
-2.949,7.9
-2.955,7.8
-2.96,7.6
-2.965,7.6
-2.971,7.6
-2.976,7.8
-2.981,8
-2.987,8.4
-2.992,8.7
-2.997,8.8
-3.003,8.8
-3.008,8.8
-3.013,8.8
-3.019,8.8
-3.024,8.8
-3.029,8.8
-3.035,8.6
-3.04,8.5
-3.045,8.4
-3.051,8.4
-3.056,8.1
-3.061,7.8
-3.067,7.6
-3.072,7.4
-3.077,7.2
-3.083,7
-3.088,6.8
-3.093,6.8
-3.099,6.7
-3.104,6.6
-3.109,6.6
-3.115,6.8
-3.12,7.2
-3.125,7.5
-3.131,7.6
-3.136,7.6
-3.141,7.6
-3.147,7.6
-3.152,7.6
-3.157,7.6
-3.163,7.5
-3.168,7.5
-3.173,7.5
-3.179,7.4
-3.184,7.2
-3.189,7.2
-3.195,6.8
-3.2,6.7
-3.205,6.4
-3.211,6.2
-3.216,6
-3.221,5.9
-3.227,5.9
-3.232,6
-3.237,6
-3.243,6.1
-3.248,6.4
-3.253,6.5
-3.259,6.7
-3.264,6.8
-3.269,6.8
-3.275,6.8
-3.28,6.8
-3.285,6.8
-3.291,6.8
-3.296,6.8
-3.301,6.7
-3.306,6.5
-3.312,6.4
-3.317,6.3
-3.322,5.9
-3.328,5.6
-3.333,5.3
-3.338,5.2
-3.344,5.2
-3.349,5.2
-3.354,5.2
-3.36,5.2
-3.365,5.5
-3.37,5.8
-3.376,6
-3.381,6
-3.386,6.1
-3.392,6.4
-3.397,6.4
-3.402,6.4
-3.408,6.4
-3.413,6.4
-3.418,6.4
-3.424,6.1
-3.429,5.7
-3.434,5.6
-3.44,5.2
-3.445,5
-3.45,4.8
-3.456,4.8
-3.461,4.7
-3.466,4.7
-3.472,4.7
-3.477,4.7
-3.482,4.8
-3.488,4.8
-3.493,4.9
-3.498,5.2
-3.504,5.2
-3.509,5.6
-3.514,5.6
-3.52,5.6
-3.525,5.6
-3.53,5.6
-3.536,5.6
-3.541,5.3
-3.546,5.2
-3.552,4.8
-3.557,4.5
-3.562,4.4
-3.568,4.4
-3.573,4.4
-3.578,4.3
-3.584,4.3
-3.589,4.3
-3.594,4.3
-3.6,4.3
-3.605,4.4
-3.61,4.5
-3.616,4.8
-3.621,4.8
-3.626,4.8
-3.632,4.8
-3.637,4.8
-3.642,4.8
-3.647,4.8
-3.653,4.8
-3.658,4.5
-3.663,4.3
-3.669,4.1
-3.674,4
-3.679,4
-3.685,4
-3.69,4
-3.695,4
-3.701,4
-3.706,4
-3.711,4
-3.717,4
-3.722,4.2
-3.727,4.3
-3.733,4.4
-3.738,4.4
-3.743,4.4
-3.749,4.4
-3.754,4.4
-3.759,4.4
-3.765,4
-3.77,4
-3.775,3.7
-3.781,3.6
-3.786,3.6
-3.791,3.6
-3.797,3.6
-3.802,3.6
-3.807,3.6
-3.813,3.6
-3.818,3.7
