alpha,I
-2.645,9.6
-2.651,9.6
-2.656,9.6
-2.661,9.5
-2.667,9.2
-2.672,9.2
-2.677,9
-2.683,8.8
-2.688,8.8
-2.693,8.8
-2.699,8.8
-2.704,8.8
-2.709,8.8
-2.715,8.8
-2.72,8.8
-2.725,8.8
-2.731,8.8
-2.736,8.8
-2.741,8.6
-2.747,8.2
-2.752,8
-2.757,8
-2.763,8
-2.768,8.4
-2.773,8.6
-2.779,8.6
-2.784,8.6
-2.789,8.6
-2.795,8.6
-2.8,8.5
-2.805,8.3
-2.811,8
-2.816,7.7
-2.821,7.6
-2.827,7.6
-2.832,7.6
-2.837,7.6
-2.843,7.6
-2.848,7.6
-2.853,7.6
-2.859,7.6
-2.864,7.6
-2.869,7.6
-2.875,7.6
-2.88,7.6
-2.885,7.6
-2.891,7.6
-2.896,7.6
-2.901,7.6
-2.907,7.6
-2.912,7.6
-2.917,7.6
-2.923,7.6
-2.928,7.6
-2.933,7.6
-2.939,7.4
-2.944,7.2
-2.949,6.8
-2.955,6.7
-2.96,6.4
-2.965,6.4
-2.971,6.4
-2.976,6.4
-2.981,6.4
-2.987,6.4
-2.992,6.4
-2.997,6.4
-3.003,6.6
-3.008,6.6
-3.013,6.6
-3.019,6.6
-3.024,6.6
-3.029,6.7
-3.035,6.8
-3.04,6.8
-3.045,6.8
-3.051,6.8
-3.056,6.8
-3.061,6.8
-3.067,6.8
-3.072,6.4
-3.077,6.2
-3.083,5.9
-3.088,5.6
-3.093,5.6
-3.099,5.5
-3.104,5.4
-3.109,5.3
-3.115,5.3
-3.12,5.4
-3.125,5.6
-3.131,5.6
-3.136,5.8
-3.141,5.9
-3.147,6
-3.152,6
-3.157,6
-3.163,6
-3.168,6
-3.173,6
-3.179,6
-3.184,6
-3.189,6
-3.195,5.8
-3.2,5.6
-3.205,5.2
-3.211,5.2
-3.216,4.9
-3.221,4.8
-3.227,4.8
-3.232,4.8
-3.237,4.8
-3.243,4.8
-3.248,4.8
-3.253,4.8
-3.259,4.8
-3.264,5
-3.269,5.1
-3.275,5.2
-3.28,5.2
-3.285,5.3
-3.291,5.3
-3.296,5.4
-3.301,5.4
-3.306,5.4
-3.312,5.3
-3.317,5.2
-3.322,5
-3.328,4.8
-3.333,4.4
-3.338,4.4
-3.344,4.4
-3.349,4.3
-3.354,4.3
-3.36,4.3
-3.365,4.3
-3.37,4.3
-3.376,4.4
-3.381,4.4
-3.386,4.4
-3.392,4.7
-3.397,4.8
-3.402,4.8
-3.408,4.8
-3.413,4.8
-3.418,4.8
-3.424,4.8
-3.429,4.8
-3.434,4.7
-3.44,4.4
-3.445,4.2
-3.45,4
-3.456,3.8
-3.461,3.6
-3.466,3.6
-3.472,3.6
-3.477,3.6
-3.482,3.6
-3.488,3.6
-3.493,3.6
-3.498,3.9
-3.504,4
-3.509,4
-3.514,4.1
-3.52,4.3
-3.525,4.4
-3.53,4.4
-3.536,4.4
-3.541,4.4
-3.546,4.3
-3.552,4
-3.557,3.8
-3.562,3.6
-3.568,3.2
-3.573,3.2
-3.578,3.2
-3.584,3.2
-3.589,3.2
-3.594,3.2
-3.6,3.2
-3.605,3.2
-3.61,3.2
-3.616,3.5
-3.621,3.6
-3.626,3.7
-3.632,3.9
-3.637,4
-3.642,4
-3.647,4
-3.653,4
-3.658,3.7
-3.663,3.5
-3.669,3.2
-3.674,3.2
-3.679,3.2
-3.685,3.2
-3.69,3.1
-3.695,3
-3.701,3
-3.706,2.9
-3.711,2.9
-3.717,2.9
-3.722,3
-3.727,3.1
-3.733,3.2
-3.738,3.2
-3.743,3.3
-3.749,3.3
-3.754,3.3
-3.759,3.2
-3.765,3.2
-3.77,3.2
-3.775,3.1
-3.781,2.9
-3.786,2.8
