alpha,I
-1.641,22
-1.647,21.2
-1.652,20.8
-1.657,20
-1.663,19.6
-1.668,18.8
-1.673,18
-1.679,17.6
-1.684,17.2
-1.689,16.8
-1.695,16.8
-1.7,17.2
-1.705,17.6
-1.711,18.4
-1.716,19.6
-1.721,20.8
-1.727,21.6
-1.732,22
-1.737,22.4
-1.743,22.4
-1.748,22.8
-1.753,22.8
-1.759,22.4
-1.764,22.4
-1.769,22.4
-1.775,22.8
-1.78,23.2
-1.786,24
-1.791,24.4
-1.796,24.4
-1.802,24.4
-1.807,24.4
-1.812,24.4
-1.818,24
-1.823,23.6
-1.828,23.2
-1.834,22.8
-1.839,22.4
-1.844,22
-1.85,21.6
-1.855,20.8
-1.86,20.4
-1.866,20
-1.871,19.2
-1.876,18.8
-1.882,18
-1.887,17.2
-1.892,16.8
-1.898,16.4
-1.903,16
-1.908,15.6
-1.914,15.6
-1.919,16
-1.924,16.8
-1.93,17.6
-1.935,18.4
-1.94,18.8
-1.946,18.8
-1.951,18.8
-1.956,18.8
-1.962,19.2
-1.967,19.2
-1.972,19.2
-1.978,19.2
-1.983,19.6
-1.989,20
-1.994,20
-1.999,20.4
-2.005,20.4
-2.01,20.4
-2.015,20.4
-2.021,20
-2.026,19.6
-2.031,19.2
-2.037,19.2
-2.042,18.8
-2.047,18.4
-2.053,18
-2.058,17.6
-2.063,17.2
-2.069,16.8
-2.074,16.8
-2.079,16.4
-2.085,16
-2.09,15.6
-2.095,15.2
-2.101,14.4
-2.106,14
-2.111,14
-2.117,14.4
-2.122,15.2
-2.127,15.6
-2.133,15.6
-2.138,15.6
-2.143,15.6
-2.149,15.6
-2.154,16
-2.159,16
-2.165,16.4
-2.17,16.8
-2.175,17.2
-2.181,17.2
-2.186,17.2
-2.191,17.2
-2.197,16.8
-2.202,16.8
-2.207,16.8
-2.213,16.8
-2.218,16.8
-2.223,16.8
-2.229,16.4
-2.234,16
-2.24,15.6
-2.245,15.6
-2.25,15.2
-2.256,14.8
-2.261,14.4
